Name,ShortName,LevelType,CityCode,ZipCode,MergerName,lng,Lat,Pinyin
若羌县,若羌,3,996,841800,中国-新疆维吾尔自治区-巴音郭楞蒙古自治州-若羌县,88.16812,39.0179,Ruoqiang
且末县,且末,3,996,841900,中国-新疆维吾尔自治区-巴音郭楞蒙古自治州-且末县,85.52975,38.14534,Qiemo
焉耆回族自治县,焉耆,3,996,841100,中国-新疆维吾尔自治区-巴音郭楞蒙古自治州-焉耆回族自治县,86.5744,42.059,Yanqi
和静县,和静,3,996,841300,中国-新疆维吾尔自治区-巴音郭楞蒙古自治州-和静县,86.39611,42.31838,Hejing
和硕县,和硕,3,996,841200,中国-新疆维吾尔自治区-巴音郭楞蒙古自治州-和硕县,86.86392,42.26814,Heshuo
博湖县,博湖,3,996,841400,中国-新疆维吾尔自治区-巴音郭楞蒙古自治州-博湖县,86.63333,41.98014,Bohu
阿克苏地区,阿克苏,2,997,843000,中国-新疆维吾尔自治区-阿克苏地区,80.265068,41.170712,Aksu
阿克苏市,阿克苏,3,997,843000,中国-新疆维吾尔自治区-阿克苏地区-阿克苏市,80.26338,41.16754,Akesu
温宿县,温宿,3,997,843100,中国-新疆维吾尔自治区-阿克苏地区-温宿县,80.24173,41.27679,Wensu
库车县,库车,3,997,842000,中国-新疆维吾尔自治区-阿克苏地区-库车县,82.96209,41.71793,Kuche
沙雅县,沙雅,3,997,842200,中国-新疆维吾尔自治区-阿克苏地区-沙雅县,82.78131,41.22497,Shaya
新和县,新和,3,997,842100,中国-新疆维吾尔自治区-阿克苏地区-新和县,82.61053,41.54964,Xinhe
拜城县,拜城,3,997,842300,中国-新疆维吾尔自治区-阿克苏地区-拜城县,81.87564,41.79801,Baicheng
乌什县,乌什,3,997,843400,中国-新疆维吾尔自治区-阿克苏地区-乌什县,79.22937,41.21569,Wushi
阿瓦提县,阿瓦提,3,997,843200,中国-新疆维吾尔自治区-阿克苏地区-阿瓦提县,80.38336,40.63926,Awati
柯坪县,柯坪,3,997,843600,中国-新疆维吾尔自治区-阿克苏地区-柯坪县,79.04751,40.50585,Keping
克孜勒苏柯尔克孜自治州,克孜勒苏,2,908,845350,中国-新疆维吾尔自治区-克孜勒苏柯尔克孜自治州,76.172825,39.713431,Kizilsu
阿图什市,阿图什,3,908,845350,中国-新疆维吾尔自治区-克孜勒苏柯尔克孜自治州-阿图什市,76.16827,39.71615,Atushi
阿克陶县,阿克陶,3,908,845550,中国-新疆维吾尔自治区-克孜勒苏柯尔克孜自治州-阿克陶县,75.94692,39.14892,Aketao
阿合奇县,阿合奇,3,997,843500,中国-新疆维吾尔自治区-克孜勒苏柯尔克孜自治州-阿合奇县,78.44848,40.93947,Aheqi
乌恰县,乌恰,3,908,845450,中国-新疆维吾尔自治区-克孜勒苏柯尔克孜自治州-乌恰县,75.25839,39.71984,Wuqia
喀什地区,喀什,2,998,844000,中国-新疆维吾尔自治区-喀什地区,75.989138,39.467664,Kashgar
喀什市,喀什,3,998,844000,中国-新疆维吾尔自治区-喀什地区-喀什市,75.99379,39.46768,Kashi
疏附县,疏附,3,998,844100,中国-新疆维吾尔自治区-喀什地区-疏附县,75.86029,39.37534,Shufu
疏勒县,疏勒,3,998,844200,中国-新疆维吾尔自治区-喀什地区-疏勒县,76.05398,39.40625,Shule
